orig.ident	nCount_Spatial	nFeature_Spatial	ident	in_tissue	row	col	imagerow	imagecol	cluster.init	spatial.cluster	TransformerST
SeuratProject	22846	5834	SeuratProject	1	27	71	3582	4663	8	5	1
SeuratProject	8226	3160	SeuratProject	1	58	110	6492	6822	3	3	5
SeuratProject	7066	3014	SeuratProject	1	17	17	2671	1712	3	3	9
SeuratProject	3342	1570	SeuratProject	1	52	48	5965	3440	3	3	2
SeuratProject	25359	5711	SeuratProject	1	59	115	6583	7095	10	10	6
SeuratProject	10569	3831	SeuratProject	1	52	24	5981	2134	3	3	5
SeuratProject	4551	2189	SeuratProject	1	10	58	1980	3936	3	3	9
SeuratProject	8370	3077	SeuratProject	1	59	99	6594	6224	3	3	3
SeuratProject	15074	4796	SeuratProject	1	69	95	7544	6018	3	3	0
SeuratProject	33484	5756	SeuratProject	1	53	87	6034	5564	9	3	0
SeuratProject	5769	2101	SeuratProject	1	51	39	5876	2949	3	3	2
SeuratProject	4087	1724	SeuratProject	1	46	14	5419	1582	3	6	4
SeuratProject	5305	2076	SeuratProject	1	59	9	6654	1325	3	3	3
SeuratProject	5440	2306	SeuratProject	1	21	63	3019	4221	3	3	8
SeuratProject	2029	1025	SeuratProject	1	76	96	8206	6081	3	3	1
SeuratProject	15102	4296	SeuratProject	1	32	12	4095	1457	6	8	0
SeuratProject	4969	2113	SeuratProject	1	55	57	6243	3934	3	3	2
SeuratProject	4464	1932	SeuratProject	1	42	102	4982	6368	3	3	1
SeuratProject	4172	1883	SeuratProject	1	42	62	5008	4191	3	3	4
SeuratProject	2875	1443	SeuratProject	1	77	27	8347	2326	3	3	4
SeuratProject	3390	1688	SeuratProject	1	41	37	4930	2829	3	3	2
SeuratProject	7256	2986	SeuratProject	1	45	81	5280	5228	3	3	5
SeuratProject	9175	3453	SeuratProject	1	75	17	8164	1780	3	3	10
SeuratProject	12134	4077	SeuratProject	1	40	104	4791	6474	3	3	1
SeuratProject	7160	2937	SeuratProject	1	8	14	1820	1538	3	3	5
SeuratProject	3445	1642	SeuratProject	1	51	61	5862	4147	3	3	2
SeuratProject	2643	1172	SeuratProject	1	73	27	7968	2322	3	3	4
